country,quarter,policy_rate_nominal,real_effective_exchange_rate,fx_real_change_qoq,natural_rate_hlw,natural_rate_lm
Argentina,1993Q2,0.42333333333333334,,,,
Argentina,1993Q3,0.39999999999999997,,,,
Argentina,1993Q4,0.5333333333333333,,,,
Argentina,1994Q1,0.3433333333333333,455.3966666666667,,,
Argentina,1994Q2,0.66,448.5833333333333,-1.4961315775990247,,
Argentina,1994Q3,0.5333333333333333,441.17,-1.6526100687348944,,
Argentina,1994Q4,0.8733333333333334,428.3666666666666,-2.9021314534835585,,
Argentina,1995Q1,1.1633333333333333,426.29333333333335,-0.48400902653488176,,
Argentina,1995Q2,0.68,411.6166666666666,-3.4428562492180848,,
Argentina,1995Q3,0.5666666666666668,412.25333333333333,0.15467465684091408,,
Argentina,1995Q4,0.6,412.54,0.06953653093566547,,
Argentina,1996Q1,5.3566666666666665,410.8566666666666,-0.40804124044538925,,
Argentina,1996Q2,5.423333333333333,406.56666666666666,-1.0441597637456557,,
Argentina,1996Q3,7.37,405.2633333333333,-0.320570632122652,,
Argentina,1996Q4,6.773333333333333,407.68,0.596320088173119,,
Argentina,1997Q1,5.6499999999999995,415.93666666666667,2.0252812663526853,,
Argentina,1997Q2,5.736666666666667,415.2366666666667,-0.1682948525817185,,
Argentina,1997Q3,7.126666666666666,422.99666666666667,1.8688137688547046,,
Argentina,1997Q4,8.723333333333334,424.52666666666664,0.36170497797460843,,
Argentina,1998Q1,6.223333333333334,437.72333333333336,3.1085601218612258,,
Argentina,1998Q2,5.919999999999999,435.69,-0.4645247759239135,,
Argentina,1998Q3,6.573333333333333,440.9433333333333,1.2057502658618047,,
Argentina,1998Q4,7.06,430.4766666666667,-2.373698812394631,,
Argentina,1999Q1,6.496666666666667,481.44,11.83881433759475,,
Argentina,1999Q2,6.336666666666666,475.19666666666666,-1.2968040323473984,,
Argentina,1999Q3,6.656666666666666,481.27666666666664,1.2794702544209668,,
Argentina,1999Q4,7.669999999999999,477.23333333333335,-0.8401266077031178,,
Argentina,2000Q1,6.566666666666666,470.68,-1.3731927079695505,,
Argentina,2000Q2,6.753333333333333,473.16,0.5268972550352746,,
Argentina,2000Q3,7.583333333333333,473.98,0.17330289965338253,,
Argentina,2000Q4,9.993333333333334,483.83,2.0781467572471346,,
Argentina,2001Q1,22.659999999999997,480.24,-0.7419961556745069,,
Argentina,2001Q2,8.473333333333333,503.8066666666667,4.9072685879282485,,
Argentina,2001Q3,17.74,508.68,0.967302272035564,,
Argentina,2001Q4,300.03999999999996,502.0,-1.3132027994023798,,
Argentina,2002Q1,49.303333333333335,323.0566666666667,-35.646082337317395,,
Argentina,2002Q2,63.43333333333333,184.08666666666667,-43.01722092099425,,
Argentina,2002Q3,45.85,191.89333333333335,4.2407561655742,,
Argentina,2002Q4,7.286666666666666,205.32333333333335,6.99867982212341,,
Argentina,2003Q1,6.746666666666666,224.25,9.217981395197805,,
Argentina,2003Q2,3.9866666666666664,232.73666666666668,3.7844667409884902,,
Argentina,2003Q3,1.5833333333333333,229.37666666666667,-1.4436917259850301,,
